X,Y,OBJECTID,Estate_Name_en,Estate_Name_zh_Hant,District_Name_en,District_Name_zh_Hant,Region_Name_en,Region_Name_zh_Hant,Latitude,Longitude,Type_of_Estate_en,Type_of_Estate_zh_Hant,Year_of_Intake_en,Type_s__of_Block_s__en,Type_s__of_Block_s__zh_Hant,No__of_Blocks,Name_of_Block_s__en,Name_of_Block_s__zh_Hant,No__of_Rental_Flats_en,No__of_Rental_Flats_zh_Hant,Flat_Size__m2__en,Estate_Management_Advisory_Comm,Estate_Management_Advisory_Co_1,District_Tenancy_Management_Off,District_Tenancy_Management_O_1,Property_Management_en,Property_Management_zh_Hant,Carpark_Management_en,Carpark_Management_zh_Hant,Estate_Website,Further_Information_en,Further_Information_zh_Hant
114.2031,22.330105,1,Tak Long Estate,德朗邨,Kowloon City,九龍城,Kowloon West,九龍西,22.330105,114.2031,Public Rental Housing,租住屋邨,2013,Non-standard,非標準型,9,Tak Cheung House<br>Tak Sui House<br>Tak Kei House<br>Tak Yu House<br>Tak Loong House<br>Tak Shan House<br>Tak Yiu House<br>Tak Ying House<br>Tak Pui House<br>,"德璋樓
德瑞樓
德琦樓
德瑜樓
德瓏樓
德珊樓
德瑤樓
德瑩樓
德珮樓",8 200 ﻿As at 31.3.2019,8 200 截至2019年3月31日的情況,14 – 37,,,"Kowloon West & Sai Kung District Tenancy Management Office (5)<br>G/F, Carport Building, Tak Long Estate, Kowloon<br>Telephone: 2383 0422<br>Fax: 2383 0945","西九龍及西貢區租約事務管理處(五)
九龍城德朗邨停車場地下
電話：2383 0422
傳真：2383 0945","Good Excel Property Consultant Ltd<br>G/F, Carport Building, Tak Long Estate, Kowloon<br>Telephone: 2856 6225<br>Fax: 2856 6100","卓安物業顧問有限公司
九龍城德朗邨停車場地下
電話：2856 6225
傳真：2856 6100","Good Excel Property Consultant Ltd<br>G/F, Carport Building, Tak Long Estate, Kowloon<br>Telephone: 2856 6225<br>Fax: 2856 6100","卓安物業顧問有限公司
九龍城德朗邨停車場地下
電話：2856 6225
傳真：2856 6100",,,
114.20401,22.33281,2,Kai Ching Estate,啟晴邨,Kowloon City,九龍城,Kowloon West,九龍西,22.33281,114.20401,Public Rental Housing,租住屋邨,2013,Non-standard,非標準型,6,Hong Ching House<br>Lok Ching House<br>Yan Ching House<br>Sheung Ching House<br>Mun Ching House<br>Yuet Ching House<br>,"康晴樓
樂晴樓
欣晴樓
賞晴樓
滿晴樓
悅晴樓
",5 200 ﻿As at 31.3.2019,5 200 截至2019年3月31日的情況,14.05-37.58,Formed,已成立,"Kowloon West & Sai Kung District Tenancy Management Office(5)<br>1/F, Hong Ching House, Kai Ching Estate, Kowloon<br>Telephone: 2382 3151<br>Fax: 2716 7199<br>","西九龍及西貢區租約事務管理處(五)
九龍啟晴邨康晴樓一樓
電話: 2382 3151
傳真: 2716 7199","Good Excel Property Consultants Ltd.<br>1/F, Hong Ching House, Kai Ching Estate, Kowloon<br>Telephone: 2426 9011<br>Fax: 2427 6911","卓安物業顧問有限公司
九龍啟晴邨康晴樓一樓
電話: 2426 9011 
傳真: 2427 6911
","Good Excel Property Consultants Ltd.<br>1/F, Hong Ching House, Kai Ching Estate, Kowloon<br>Telephone: 2426 9011<br>Fax: 2427 6911","卓安物業顧問有限公司
九龍啟晴邨康晴樓一樓
電話: 2426 9011 
傳真: 2427 6911
",-,-,-
114.21717,22.328026,3,Choi Fook Estate,彩福邨,Kwun Tong,觀塘,Kowloon East,九龍東,22.328026,114.21717,Public Rental Housing,租住屋邨,2010,Non-standard,非標準型,4,Choi Lok House<br>Choi Sin House<br>Choi Hay House<br>Choi Foon House,"彩樂樓
彩善樓
彩喜樓
彩歡樓",3 400 ﻿As at 31.3.2019,3 400 截至2019年3月31日的情況,21.2 - 43.6,Not Yet Formed,未成立,"Housing Department Kowloon East (12) District Tenancy Management Office<br>Podium Level 2/F., Tsui Pak House, Tsui Ping (North) Estate, Kwun Tong, Kowloon<br>Telephone: 2793 2303<br>Fax: 2763 6540<br>","房屋署東九龍(十二)區租約事務管理處
九龍觀塘翠屏(北)邨翠柏樓2字樓平台
電話：2793 2303
傳真：2763 6540
","Top One Limited<br>G/F, Choi Sin House, Choi Fook Estate<br>Telephone: 2750 3811<br>Fax: 3197 0313<br>E-mail: Choi_fook@toponepm.com.hk<br>","翔俊有限公司
彩福邨彩善樓地下
電話：2750 3811
傳真：3197 0313
電郵：Choi_fook@toponepm.com.hk",CP Parking Limited<br>Tel: 2815 6209<br>Fax: 2815 6939<br>Email: peter@cpmanagement.com.hk,"建盈停車場有限公司
電話：2815 6209
傳真：2815 6939
電郵： peter@cpmanagement.com.hk",,,
114.125770000000102,22.49311,4,Ching Ho Estate,清河邨,North,北區,New Territories East,新界東,22.49311,114.12577,Public Rental Housing,租住屋邨,2006,New Harmony ( I ),新和諧式(一)型,8,Ching Chak House<br>Ching Chiu House<br>Ching Chung House<br>Ching Hin House<br>Ching Long House<br>Ching Ping House<br>Ching Yu House<br>Ching Yun House,"清澤樓 
清照樓 
清頌樓 
清顯樓 
清朗樓 
清平樓 
清譽樓
清潤樓",7 200 ﻿As at 31.3.2019,7 200 截至2019年3月31日的情況,17.9 - 39.8,Formed,已成立,"Tai Po, North & Shatin District Tenancy Management Office (5)<br>No 107, G/F, Tin Yee House, Tin Ping Estate, Sheung Shui, N.T.<br>Telephone: 2677 2002<br>Fax: 2677 9009","大埔、北區及沙田區租約事務管理處(五)
新界上水天平邨天怡樓地下107號
電話：2677 2002
傳真：2677 9009","Creative Property Services Consultants Limited<br>G/F, Ching Yu House, Ching Ho Estate, Sheung Shui, N.T.<br>Telephone: 2671 7939<br>Fax: 2671 7484<br>Web site: www.creativepsc.com.hk","創毅物業服務顧問有限公司 
上水清河邨清譽樓地下
電話：2671 7939
傳真：2671 7484
網站：www.creativepsc.com.hk","Yue Xiu APT Parking Ltd<br>28/F, Seabright Plaza, 9-23 Shell St, North Point<br>Telephone: 2512 9611<br>Fax: 2512 9617<br>E-mail: yxaptsunny@biznetvigator.com<br><br>","越秀亞通停車場有限公司
北角蜆殼街9-23號
秀明中心28樓
電話: 2512 9611
傳真: 2512 9617
電郵: yxaptsunny@biznetvigator.com
",-,-,-
114.17457,22.36692,5,Hin Yiu Estate,顯耀邨,Sha Tin,沙田,New Territories East,新界東,22.36692,114.17457,Public Rental Housing,租住屋邨,2005,New Harmony I,新和諧一型,1,Hin Yiu House,顯耀樓,800 ﻿As at 31.3.2019,800 截至2019年3月31日的情況,17.81 - 39.74,Not Yet Formed,未成立,"Tai Po, North & Shatin District Tenancy Management Office (2)<br>Market Podium, Pok Hong Estate, Shatin<br>Telephone : 2648 1312<br>Fax : 2649 1648<br>","大埔、北區及沙田區租約事務管理處(二)
沙田博康邨街市平台
電話：2648 1312
傳真：2649 1648
","Creative Property Services Consultants Limited<br>G/F, Hin Yiu House,<br>Hin Yiu Estate, Sha Tin<br>Telephone: 2278 4000<br>Fax: 2278 4009","創毅物業服務顧問有限公司
顯耀邨顯耀樓地下
電話: 2278 4000
傳真: 2278 4009","Creative Property Services Consultants Limited<br>G/F, Hin Yiu House,<br>Hin Yiu Estate, Sha Tin<br>Telephone: 2278 4000<br>Fax: 2278 4009","創毅物業服務顧問有限公司
顯耀邨顯耀樓地下
電話: 2278 4000
傳真: 2278 4009",-,-,-
114.17018,22.37569,6,Mei Tin Estate,美田邨,Sha Tin,沙田,New Territories East,新界東,22.37569,114.17018,Public Rental Housing,租住屋邨,2006,Modified New Harmony 1,新和諧式一型,8,Mei Sau House<br>Mei Lai House<br>Mei King House<br>Mei Chi House<br>Mei Lok House<br>Mei Mun House<br>Mei Ting House<br>Mei Chuen House,"美秀樓
美麗樓
美景樓
美致樓
美樂樓
美滿樓
美庭樓
美全樓",6 700 ﻿As at 31.3.2019,6 700 截至2019年3月31日的情況,14.05 - 40.15,Formed,已成立,"Tai Po, North & Shatin District Tenancy Management Office (4)<br>Unit 241-260, 2/F., Shek Yuk House, Chun Shek Estate, Shatin<br>Telephone :  2699 3082<br>Fax  :  2699 9418<br>","大埔、北區及沙田區租約事務管理處(四)
新界沙田秦石邨石玉樓二樓241-260
電話  :  2699 3082
傳真  :  2699 9418
","Creative Property Services Consultants Limited<br>G/F, Mei Chi House, Mei Tin Estate, Sha Tin<br>Telephone: 2693 0705<br>Fax: 2693 0706","創毅物業服務顧問有限公司
沙田美田邨美致樓地下
電話：2693 0705
傳真：2693 0706","Yue Xiu APT Parking Ltd<br>27/F, Seabright Plaza, 9-23 Shell St, North Point<br>Telephone: 31927361<br>Fax: 2512 9617<br>E-mail: yxaptsunny@biznetvigator.com<br>","越秀亞通停車場有限公司
北角蜆殼街9-23號
秀明中心27樓
電話: 3192 7361
傳真: 2512 9617
電郵: yxaptsunny@biznetvigator.com
",-,-,-
114.10681000000011,22.34968,7,Cheung Ching Estate,長青邨,Kwai Tsing,葵青,New Territories West,新界西,22.34968,114.10681,Public Rental Housing,租住屋邨,1977,"Old Slab, Twin Tower",舊長型、雙塔式,8,Ching Chung House<br>Ching Yeung House<br>Ching Kwai House<br>Ching Mui House<br>Ching Pak House<br>Ching Tao House<br>Ching Wai House<br>Ching Yung House,"青松樓
青楊樓
青葵樓
青梅樓
青柏樓
青桃樓
青槐樓
青榕樓",4 900 ﻿As at 31.3.2019,4 900 截至2019年3月31日的情況,23.1 - 54.9,Formed,已成立,"Tsing Yi District Tenancy Management Office <br>Wings A&B, G/F, Yee Yip House, Tsing Yi Estate, Tsing Yi, N.T.<br>Telephone : 2431 0305<br>Fax: 2435 5137<br>","青衣區租約事務管理處
青衣邨宜業樓地下A翼及B翼
電話：2431 0305
傳真：2435 5137
","Easy Living Consultant Limited<br>20-29, G/F, Ching Wai House, Cheung Ching Estate, Tsing Yi<br>Telephone: 2495 2224<br>Fax: 2436 0337","宜居顧問服務有限公司
青衣長青邨青槐樓地下20-29號
電話：2495 2224
傳真：2436 0337","Wilson Parking (Hong Kong) Limited<br>Room 2901, Metroplaza, Tower 1 Hing Fong Road, Kwai Chung, N.T.<br>Telephone: 2487 6138<br>Fax: 2428 6026<br>Web site: www.wilsonparking.com.hk<br>E-mail: osc@wilsonparking.com.hk<br>","威信(香港)停車場管理有限公司
新界葵涌興芳路新都會廣場第一座2901室
電話：2487 6138
傳真：2428 6026
網站：www.wilsonparking.com.hk
電郵：osc@wilsonparking.com.hk
",-,-,-
114.20913,22.34274,8,Fu Shan Estate,富山邨,Wong Tai Sin,黃大仙,Kowloon East,九龍東,22.34274,114.20913,Public Rental Housing,租住屋邨,1978,Old Slab,舊長型,3,Fu Lai House<br>Fu Shun House<br>Fu Yan House,"富禮樓
富信樓
富仁樓",1 600 ﻿As at 31.3.2019,1 600 截至2019年3月31日的情況,15.1 - 32.2,Formed,已成立,"Chuk Yuen District Tenancy Management Office <br>Unit 101-108, Yung Yuen House, Chuk Yuen (N) Estate, Wong Tai Sin <br>Telephone: 2351 1818 <br>Fax: 2351 9224","竹園區租約事務管理處 
黃大仙竹園(北)邨榕園樓101-108室
電話：2351 1818 
傳真：2351 9224","Pioneer Management Ltd <br>G/F, Fu Yan House, Fu Shan Estate, Kowloon <br>Telephone: 2351 2115 <br>(24-Hr Telephone: 2327 5695) <br>Fax: 2351 9460","領先管理有限公司
富山邨富仁樓地下
電話：2351 2115
(24小時電話：2327 5695)
傳真：2351 9460","Wilson Parking (Hong Kong) Limited<br>Room 2901, Metroplaza, Tower 1 Hing Fong Road, Kwai Chung, N.T.<br>Telephone: 2487 6138<br>Fax: 2428 6026<br>Web site: www.wilsonparking.com.hk<br>E-mail: osc@wilsonparking.com.hk<br>","威信(香港)停車場管理有限公司
新界葵涌興芳路新都會廣場第一座2901室
電話：2487 6138
傳真：2428 6026
網站：www.wilsonparking.com.hk
電郵：osc@wilsonparking.com.hk
",-,-,-
114.17167,22.33268,9,Tai Hang Tung Estate,大坑東邨,Sham Shui Po,深水埗,Kowloon West,九龍西,22.33268,114.17167,Public Rental Housing,租住屋邨,1984,"Linear 1, New Slab, Small Household Block",相連長型第一款、新長型、小單位大廈,9,Tung Fai House<br>Tung Hoi House<br>Tung Yi House<br>Tung Kin House<br>Tung Lung House<br>Tung Moon House<br>Tung Wong House<br>Tung Yu House<br>Tung Shing House,"東輝樓
東海樓
東怡樓
東健樓
東龍樓
東滿樓
東旺樓
東裕樓
東成樓",2 100 ﻿As at 31.3.2019,2 100 截至2019年3月31日的情況,17.7 - 50.1,Formed,已成立,"Kowloon West & Sai Kung District Tenancy Management Office(4)<br>G/F, Nam On House, Nam Shan Estate, Sham Shui Po <br>Telephone: 2777 3357<br>Fax: 2776 8371","西九龍及西貢區租約事務管理處(四) 
深水埗南山邨南安樓地下 
電話：2777 3357 
傳真：2776 8371","Pioneer Management Ltd.<br>G/F, Tung Wong House, Tai Hang Tung Estate, Sham Shui Po<br>Telephone: 2788 0078<br>Fax: 2788 2239<br>","領先管理有限公司
深水埗大坑東邨東旺樓地下
電話：2788 0078
傳真：2788 2239
","Pioneer Management Ltd.<br>G/F, Tung Wong House, Tai Hang Tung Estate, Sham Shui Po<br>Telephone: 2788 0078<br>Fax: 2788 2239<br>","領先管理有限公司
深水埗大坑東邨東旺樓地下
電話：2788 0078
傳真：2788 2239
",,-,-
114.21279,22.3301,10,Choi Tak Estate,彩德邨,Kwun Tong,觀塘,Kowloon East,九龍東,22.3301,114.21279,Public Rental Housing,租住屋邨,2010,Non-standard,非標準型,8,Choi Shing House<br>Choi Shun House<br>Choi Yan House<br>Choi Yee House<br>Choi Chun House<br>Choi King House<br>Choi Leung House<br>Choi Yin House,"彩誠樓
彩信樓
彩仁樓
彩義樓
彩俊樓
彩敬樓
彩亮樓
彩賢樓
",5 800 ﻿As at 31.3.2019,5 800 截至2019年3月31日的情況,14.05 - 43.6,Formed,已成立,"Housing Department Kowloon East (6) District Tenancy Management Office <br>G/F, Ping Wah House, Lok Wah (North) Estate, Ngau Tau Kok, Kowloon<br>Telephone: 2755 5551<br>Fax: 2750 8597","房屋署東九龍(六)區租約事務管理處
九龍牛頭角樂華(北)邨秉華樓地下
電話：2755 5551
傳真：2750 8597","Top One Limited<br>G/F, Choi Chun House, Choi Tak Estate, Ngau Tau Kok, Kowloon<br>Telephone: 2756 9990<br>Fax: 2757 7300<br>E-mail: psaect.em@housingauthority.gov.hk","翔俊有限公司
九龍牛頭角彩德邨彩俊樓地下
電話：2756 9990
傳真：2750 7300
電郵：psaect.em@housingauthority.gov.hk","Wilson Parking (Holdings) Limited<br>G/F, Choi Tak Shopping Centre, Ngau Tau Kok, Kowloon<br>Telephone: 2806 3290<br><br>","威信停車場管理(控股)有限公司
九龍牛頭角彩德商場地下
電話：2806 3290",,Electric vehicle charging facilities of 5 standard chargers are provided at the hourly parking spaces in the carpark at Choi Tak Shopping Centre,彩德商場停車場內時租停車位設有五部電動車標準充電器
