X,Y,OBJECTID,GMID,ENGLISH_CATEGORY,ENGLISH_NAME,ENGLISH_ADDRESS,中文類別,設施名稱,中文地址,District,地區,Sub_District,分區,Opening_Hours,開放時間,Telephone,聯絡電話,Fax_Number,傳真號碼,Email_Address,電郵地址,Website,網頁,Last_collection_time,最後接收箱時間,Remarks,備註,Latitude,Longitude,Building_CSUID,Northing,Easting,ChineseCategory
114.23987000000011,22.27705,1,u2gl8BEWl8,Street Posting Boxes,Street Posting Box No. 273,"Near Exit A1, HFC MTR Station,Shing Tai Rd.",郵筒,編號273郵箱,盛泰道杏花邨港鐵站近 A1 出口,EASTERN,東區,CHAI WAN,柴灣,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 11:30 a.m.<br>Sat: 11:30 a.m.<br>,星期一至五: 上午11:30<br>星期六: 上午 11:30<br>,N.A.,N.A.,22.27705,114.23987,,815356,842760,
113.941060000000107,22.28899,2,b1eVbn0Tdl,Street Posting Boxes,Street Posting Box No. 582,"MTR, Tung Chung Station, near Customer Service Counter.",郵筒,編號582郵箱,港鐵東涌站大堂詢問處,ISLANDS DISTRICT,離島區,TUNG CHUNG,東涌,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:00 p.m.<br>Sat: 3:00 p.m.<br>,星期一至五: 下午 3:00<br>星期六: 下午 3:00<br>,N.A.,N.A.,22.28899,113.94106,,816696,811967,
114.10752,22.35829,3,aRkdRnMhUS,Street Posting Boxes,Street Posting Box No. 581,"MTR, Tsing Yi Station, 1/F Concourse.",郵筒,編號581郵箱,港鐵青衣站一樓大堂詢問處,KWAI TSING,葵青區,TSING YI,青衣,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 2:45 p.m.<br>Sat: 2:45 p.m.,星期一至五: 下午 2:45<br>星期六: 下午 2:45,N.A.,N.A.,22.35829,114.10752,,824352,829124,
114.20129,22.32949,4,UqsPkvbtix,Street Posting Boxes,Street Posting Box No 721,Outside One Kai Tak Muk On Street Kai Tak,郵筒,編號721郵箱,啟德沐安街啟德1號外,KOWLOON CITY,九龍城區,KAI TAK,啟德,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 2:00 p.m.<br>Sat: 2:00 p.m,星期一至五 :下午 2:00<br>星期六: 下午 2:00,N.A.,N.A.,22.32949,114.20129,,821162,838783,
114.23036,22.32706,5,mgGG8pxof5,Street Posting Boxes,Street Posting Box no. 714,Bus Terminal On Sau Road On Tai Estate,郵筒,編號714郵箱,安泰邨安秀道巴士總站,KWUN TONG,觀塘區,KWUN TONG,觀塘,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 11:30 a.m.<br>Sat: 11:30 a.m.,星期一至五:上午 11:30 <br>星期六: 上午 11:30,N.A.,N.A.,22.32706,114.23036,,820893,841778,
114.03514,22.44615,6,TcVCt80ckU,Street Posting Boxes,Street Posting Box No. 663,MTR Yuen Long Station near exit G,郵筒,編號663郵箱,港鐵元朗站近G出口,YUEN LONG,元朗區,YUEN LONG,元朗,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 10:00 a.m.<br>Sat: 10:00 a.m.,星期一至五:上午10:00<br>星期六:上午 10:00,N.A.,N.A.,22.44615,114.03514,,834087,821678,
114.001350000000116,22.45153,7,bKuWGW5UEw,Street Posting Boxes,Street Posting Box No. 15,"Bus Terminus, Locwood Court, Kingswood Villas",郵筒,編號15郵箱,嘉湖山莊樂湖居巴士總站,YUEN LONG,元朗區,TIN SHUI WAI,天水圍,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:15 p.m.<br>Sat: 3:00 p.m.,星期一至五: 下午 3:15<br>星期六: 下午 3:00,N.A.,N.A.,22.45153,114.00135,,834686,818201,
113.99828,22.45538,8,YfG6PPVZTJ,Street Posting Boxes,Street Posting Box No. 183,"Tin Shui Bus Terminus, Tin Shui Shopping Centre",郵筒,編號183郵箱,天瑞商場天瑞巴士總站,YUEN LONG,元朗區,TIN SHUI WAI,天水圍,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:15 p.m.<br>Sat: 3:00 p.m.,星期一至五: 下午 3:15<br>星期六: 下午 3:00,N.A.,N.A.,22.45538,113.99828,,835113,817885,
114.00699,22.44399,9,JusFb3nj08,Street Posting Boxes,Street Posting Box No. 233,"Entrance of Hang Mei Tsuen, Ping Ha Road",郵筒,編號233郵箱,屏廈路坑尾村村口,YUEN LONG,元朗區,YUEN LONG,元朗,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 12:30 p.m.<br>Sat: 12:30 p.m.,星期一至五: 下午 12:30<br>星期六: 下午 12:30,N.A.,N.A.,22.44399,114.00699,,833850,818780,
113.996040000000107,22.46259,10,57J5wj6BXf,Street Posting Boxes,Street Posting Box No. 381,"Outside Tin Yan Shopping Centre, Tin Yan Estate",郵筒,編號381郵箱,天恩邨天恩商場外,YUEN LONG,元朗區,TIN SHUI WAI,天水圍,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Mon to Fri: 3:00 p.m.<br>Sat: 3:00 p.m.,星期一至五 : 下午3:00 <br>星期六 : 下午3:00,N.A.,N.A.,22.46259,113.99604,,835911,817656,
